1	1	How much of the READING did you complete prior to class today?	homework survey	percent	reading	1
1	1	How well did you understand what you read?	homework survey	Likert scale	reading	2
1	1	How many of the HOMEWORK problems did you attempt to complete?	homework survey	percent	homework	3
1	1	How well did you understand the HOMEWORK problems you attempted to complete?	homework survey	Likert scale	homework	4
1	1	In the space below, record the number of any HOMEWORK problems you want to review in more detail.	homework survey	free response	homework	5
2	1	Look back at today's LECTURE HANDOUT and any NOTES that you wrote down during class. Rate how well you understand them.	end of class survey	Likert scale	lecture notes	1
2	1	In the space below, record any KEY WORDS or CONCEPTS that you need to revisit.	end of class survey	free response	lecture notes	2
2	1	How well did you understand the PROBLEMS you completed during GROUPWORK?	end of class survey	Likert scale	groupwork	3
2	1	Use the space below to record the number(s) of any problem(s) you need to revisit.	end of class survey	free response	groupwork	4
2	1	Overall, how would you rate your understanding of today's learning objective?	end of class survey	Likert scale	overall	5
2	1	Use the space below to record any questions or thoughts that you want to remember to ask your instructor or another student.	end of class survey	free response	overall	6
3	2	How much of the READING did you complete prior to class today?	homework survey	percent	reading	1
3	2	How well did you understand what you read?	homework survey	Likert sclae	reading	2
3	2	How many of the HOMEWORK problems did you attempt to complete?	homework survey	percent	homework	3
3	2	How well did you understand the HOMEWORK problems you attempted to complete?	homework survey	Likert scale	homework	4
3	2	In the space below, record the number of any HOMEWORK problems you want to review in more detail.	homework survey	free response	homework	5
4	2	Look back at today's LECTURE HANDOUT and any NOTES that you wrote down during class. Rate how well you understand them.	end of class survey	Likert scale	lecture notes	1
4	2	In the space below, record any KEY WORDS or CONCEPTS that you need to revisit.	end of class survey	free response	lecture notes	2
4	2	How well did you understand the PROBLEMS you completed during GROUPWORK?	end of class survey	Likert scale	groupwork	3
4	2	Use the space below to record the number(s) of any problem(s) you need to revisit.	end of class survey	free response	groupwork	4
4	2	Overall, how would you rate your understanding of today's learning objective?	end of class survey	Likert scale	overall	5
4	2	Use the space below to record any questions or thoughts that you want to remember to ask your instructor or another student.	end of class survey	free response	overall	6
5	3	How much of the READING did you complete prior to class today?	homework survey	percent	reading	1
5	3	How well did you understand what you read?	homework survey	Likert sclae	reading	2
5	3	How many of the HOMEWORK problems did you attempt to complete?	homework survey	percent	homework	3
5	3	How well did you understand the HOMEWORK problems you attempted to complete?	homework survey	Likert scale	homework	4
5	3	In the space below, record the number of any HOMEWORK problems you want to review in more detail.	homework survey	free response	homework	5
6	3	Look back at today's LECTURE HANDOUT and any NOTES that you wrote down during class. Rate how well you understand them.	end of class survey	Likert scale	lecture notes	1
6	3	In the space below, record any KEY WORDS or CONCEPTS that you need to revisit.	end of class survey	free response	lecture notes	2
6	3	How well did you understand the PROBLEMS you completed during GROUPWORK?	end of class survey	Likert scale	groupwork	3
6	3	Use the space below to record the number(s) of any problem(s) you need to revisit.	end of class survey	free response	groupwork	4
6	3	Overall, how would you rate your understanding of today's learning objective?	end of class survey	Likert scale	overall	5
6	3	Use the space below to record any questions or thoughts that you want to remember to ask your instructor or another student.	end of class survey	free response	overall	6
7	4	How much of the READING did you complete prior to class today?	homework survey	percent	reading	1
7	4	How well did you understand what you read?	homework survey	Likert sclae	reading	2
7	4	How many of the HOMEWORK problems did you attempt to complete?	homework survey	percent	homework	3
7	4	How well did you understand the HOMEWORK problems you attempted to complete?	homework survey	Likert scale	homework	4
7	4	In the space below, record the number of any HOMEWORK problems you want to review in more detail.	homework survey	free response	homework	5
8	4	Look back at today's LECTURE HANDOUT and any NOTES that you wrote down during class. Rate how well you understand them.	end of class survey	Likert scale	lecture notes	1
